Common Name,Genus,Species,Family,Fish Code,Symbol,TNS Field,MWT Species Code,MWT Field
Longfin Smelt,Spirinchus,thaleichthys,Osmeridae,2,LFS,LGFNSMLT,25,LNGFSMLT
Delta Smelt,Hypomesus,transpacificus,Osmeridae,3,DS,DLTASMLT,24,DLTASMLT
Wakasagi,Hypomesus,nipponensis,Osmeridae,67,WK,WAKASAGI,93,WAKASAGI
American Shad,Alosa,sapidissima,Clupeidae,5,AS,AMERSHAD,19,AMERSHAD
Threadfin Shad,Dorosoma,petenense,Clupeidae,6,TFS,THREADFN,20,TFINSHAD
Pacific Herring,Clupea,pallasi,Clupeidae,52,PH,PHERRING,16,PHERRING
White Catfish,Ameiurus,catus,Ictaluridae,8,WCF,WHTCATFS,5,WHITECAT
Channel Catfish,Ictalurus,punctatus,Ictaluridae,9,CCF,CHANLCAT,4,CHANLCAT
Brown Bullhead,Ameiurus,nebulosus,Ictaluridae,54,BRB,BRNBULLH,69,BRNBULHD
Yellowfin Goby,Acanthogobius,flavimanus,Gobiidae,10,YFG,YELFGOBY,42,YELFGOBY
Tidewater Goby,Eucyclogobius,newberryi,Gobiidae,12,TWG,TIDEGOBY,,
Arrow Goby,Clevelandia,ios,Gobiidae,13,AG,AROWGOBY,76,AROWGOBY
Chameleon Goby,Tridentiger,trigonocephalus,Gobiidae,58,CG,CAMLGOBY,92,CAMLGOBY
Shimofuri Goby,Tridentiger,bifasciatus,Gobiidae,66,SG,SHIMGOBY,95,SHIMGOBY
Bay Goby,Lepidogobius,lepidus,Gobiidae,59,BG,BAYGOBY,74,BAYGOBY
Northern Anchovy,Engraulis,mordax,Engraulidae,14,NA,NANCHOVY,13,NANCHOVY
Chinook Salmon,Oncorhynchus,tshawytscha,Salmonidae,15,CS,CHINSALM,9,CHINSALM
Steelhead,Oncorhynchus,mykiss,Salmonidae,55,STH,,32,STEELHED
Striped Bass Adult,Morone,saxatilis,Moronidae,,SB,,34,STPBASS1
Starry Flounder,Platichthys,stellatus,Pleuronectidae,19,STF,STARYFLD,31,STRFLNDR
Three Spine Stickleback,Gasterosteus,aculeatus,Gasterosteidae,20,STB,STICKLEB,38,STCKL3SP
White Sturgeon,Acipenser,transmontanus,Acipenseridae,22,WST,WHTSTURG,37,WHTSTURG
Green Sturgeon,Acipenser,medirostrus,Acipenseridae,23,GST,GRNSTURG,36,GRNSTURG
Golden Shiner,Notemigonus,crysoleucas,Cyprinidae,25,GSH,GOLDSHNR,65,GOLDSHNR
Carp,Cyprinus,carpio,Cyprinidae,26,CP,CARP,3,CARP
Goldfish,Carassius,auratus,Cyprinidae,27,GF,GOLDFISH,64,GOLDFISH
Splittail,Pogonichthys,macrolepidotus,Cyprinidae,28,ST,SPLITAIL,29,SPLITAIL
Hardhead,Mylopharodon,conocephalus,Cyprinidae,29,HH,HARDHEAD,,
Sacramento Pikeminnow,Ptychocheilus,grandis,Cyprinidae,30,SQ,SACSQUAW,63,SACSQUAW
Hitch,Lavinia,exilicauda,Cyprinidae,57,HIT,HITCH,61,HITCH
Topsmelt,Atherinops,affinis,Atherinopsidae,33,TSM,TOPSMELT,39,TOPSMELT
Jacksmelt,Atherinopsis,californiensis,Atherinopsidae,34,JS,JACKSMLT,8,JACKSMLT
